id,label
000101,A
000102,B
000103,A
000201,C
000202,D
000301,C
000302,B
000401,C
000402,D
000501,A
000502,D
000601,A
000602,D
000701,D
000702,C
000801,D
000802,A
000901,C
000902,B
001001,B
001101,D
001102,D
001201,C
001202,A
001301,B
001302,C
001401,B
001402,B
001501,D
001601,B
001602,B
001701,C
001702,B
001801,D
001802,A
001803,A
001901,D
002001,B
002002,A
002003,B
002101,D
002201,C
002202,C
002301,C
002302,B
002401,C
002501,D
002601,D
002602,A
002701,D
002702,A
002703,A
002801,A
002802,C
002901,C
003001,B
003002,C
003101,A
003102,C
003103,A
003201,A
003301,A
003302,D
003303,D
003401,D
003402,C
003501,C
003502,B
003503,A
003601,C
003602,D
003701,A
003801,C
003901,A
003902,B
004001,A
004002,B
004101,D
004102,A
004201,C
004301,D
004401,C
004402,B
004501,C
004502,D
004601,D
004602,C
004701,C
004801,A
004802,D
004901,C
005001,D
005002,D
005101,B
005201,B
005202,A
005301,B
005302,B
005401,A
005501,D
005502,B
005601,C
005701,A
005702,B
005801,D
005901,D
006001,C
006101,A
006102,C
006201,A
006301,B
006401,B
006402,D
006501,A
006601,B
006701,C
006801,A
006802,D
006901,D
007001,A
007101,B
007102,B
007201,D
007301,A
007302,D
007401,D
007501,D
007601,B
007602,C
007701,A
007702,A
007801,B
007802,A
007803,C
007901,B
008001,D
008101,D
008102,A
008201,D
008202,A
008301,A
008401,D
008501,D
008601,D
008602,A
008603,B
008701,D
008801,D
008901,B
008902,D
009001,B
009101,B
009201,C
009301,C
009401,D
009402,D
009501,C
009502,D
009601,C
009602,D
009701,B
009702,C
009801,A
009901,B
009902,C
010001,A
010002,C
010003,B
010101,D
010102,A
010201,A
010202,A
010301,B
010302,C
010303,A
010304,D
010401,C
010402,D
010403,D
010501,B
010502,D
010601,D
010701,B
010801,D
010802,D
010901,C
010902,C
010903,B
011001,A
011101,A
011102,B
011103,A
011201,A
011301,B
011302,B
011401,D
011402,B
011501,D
011502,A
011503,D
011601,A
011701,B
011801,C
011802,C
011901,A
012001,B
012002,A
012101,D
012201,D
012202,C
012203,A
012301,A
012302,D
012303,C
012304,D
012401,D
012402,C
012501,C
012502,D
012503,B
012601,C
012602,D
012701,C
012702,D
012703,A
012801,B
012802,B
012901,C
012902,C
013001,D
013002,B
013003,B
013101,B
013102,B
013103,B
013201,D
013202,D
013301,C
013302,C
013401,C
013402,B
013501,D
013502,B
013503,C
013601,D
013701,B
013801,A
013802,A
013803,D
013901,A
014001,B
014101,A
014201,C
014301,D
014302,B
014303,B
014304,D
014401,B
014501,D
014601,A
014602,D
014701,B
014801,A
014802,C
014803,C
014901,A
015001,A
015101,B
015102,A
015103,D
015201,D
015202,C
015301,B
015302,C
015303,C
015401,A
015501,C
015502,A
015601,C
015701,D
015702,B
015801,C
015901,C
015902,B
015903,A
016001,B
016002,C
016101,D
016102,B
016201,D
016301,C
016302,C
016303,C
016401,D
016402,D
016403,B
016501,D
016502,B
016601,D
016602,D
016701,C
016702,A
016801,A
016901,B
016902,B
017001,B
017101,A
017102,C
017201,A
017202,C
017203,D
017301,C
017401,B
017501,A
017502,A
017503,D
017601,B
017602,B
017603,B
017701,A
017702,A
017703,D
017801,D
017901,A
017902,A
018001,A
018002,D
018101,D
018201,C
018301,D
018302,D
018401,A
018402,A
018501,D
018601,B
018701,B
018801,C
018802,D
018901,B
018902,D
018903,D
019001,B
019101,A
019201,A
019301,A
019401,B
019402,B
019501,C
019502,A
019601,B
019602,A
019701,B
019702,D
019703,A
019801,A
019802,B
019901,A
020001,B
020002,D
020003,B
020101,D
020102,A
020201,A
020202,A
020301,B
020401,B
020501,D
020502,D
020503,A
020601,D
020602,C
020701,B
020702,C
020703,C
020801,D
020802,B
020803,A
020901,B
020902,C
021001,A
021002,C
021003,D
021004,B
021101,B
021102,D
021103,D
021201,D
021202,B
021203,C
021301,A
021302,D
021401,C
021402,D
021501,B
021502,A
021601,D
021602,D
021603,B
021701,C
021702,C
021703,C
021801,D
021802,B
021901,D
021902,C
021903,D
022001,D
022002,B
022003,C
022101,D
022102,D
022103,A
022201,B
022202,A
022203,A
022301,D
022302,B
022401,C
022402,D
022403,D
022501,C
022502,D
022601,A
022602,C
022603,C
022701,A
022702,D
022703,B
022801,C
022802,A
022901,C
022902,C
023001,A
023002,A
023003,C
023101,D
023102,D
023103,B
023201,D
023202,D
023301,C
023302,C
023303,C
023401,C
023402,A
023403,C
023501,A
023502,B
023503,B
023601,B
023602,A
023603,B
023701,D
023702,D
023801,D
023802,A
023803,D
023901,B
023902,B
023903,C
024001,C
024002,A
024003,D
024101,D
024102,D
024103,D
024201,D
024202,C
024301,B
024302,D
024401,A
024402,D
024403,D
024501,B
024502,D
024601,A
024602,D
024701,A
024702,D
024703,D
024801,B
024802,C
024803,D
024901,D
024902,C
025001,B
025002,A
025003,B
025101,C
025102,A
025103,C
025201,D
025202,A
025301,B
025302,A
025303,B
025304,B
025401,A
025402,A
025403,B
025501,C
025502,A
025503,D
025601,A
025602,A
025701,C
025702,A
025703,A
025801,A
025802,C
025901,A
025902,B
026001,A
026002,B
026003,A
026101,C
026102,B
026201,B
026202,A
026203,B
026301,A
026302,B
026401,C
026402,C
026403,C
026501,D
026502,D
026601,C
026602,B
026603,B
026701,D
026702,D
026703,C
026801,C
026802,D
026803,A
026901,C
026902,B
026903,D
027001,C
027002,A
027003,C
027101,B
027102,D
027103,D
027201,B
027202,D
027203,A
027301,A
027302,D
027303,B
027401,C
027402,B
027501,A
027502,D
027503,B
027601,A
027602,A
027603,A
027701,C
027702,A
027801,D
027802,B
027901,C
027902,C
027903,B
028001,A
028002,C
028003,B
028004,A
028101,C
028102,D
028103,B
028201,B
028202,C
028301,C
028302,C
028303,A
028401,B
028402,C
028403,A
028501,A
028502,C
028503,A
028601,A
028602,D
028603,A
028701,C
028702,D
028703,B
028801,C
028802,B
028901,C
028902,C
028903,A
029001,B
029002,D
029101,C
029102,D
029201,D
029202,D
029301,B
029302,B
029303,A
029401,C
029402,D
029403,B
029501,C
029502,D
029601,C
029602,C
029603,A
029701,D
029702,A
029801,C
029802,C
029803,D
029901,A
029902,B
030001,D
030002,C
030101,A
030102,A
030103,C
030201,B
030202,D
030203,A
030301,C
030302,C
030303,B
030401,B
030402,B
030403,B
030501,B
030502,B
030503,B
030601,C
030602,C
030701,C
030702,B
030801,A
030802,C
030901,B
030902,D
030903,C
031001,C
031002,B
031003,A
031101,A
031102,D
031103,A
031201,B
031202,A
031203,A
031204,B
031301,B
031302,C
031401,C
031402,A
031403,D
031501,D
031502,B
031503,D
031601,C
031602,D
031701,C
031702,B
031801,D
031802,A
031901,D
031902,B
032001,B
032002,B
032101,A
032102,B
032103,A
032201,C
032202,C
032203,B
032301,A
032302,A
032303,D
032401,D
032402,C
032403,A
032501,C
032502,D
032503,C
032601,B
032602,C
032603,A
032701,C
032702,A
032801,A
032802,B
032901,D
032902,A
033001,B
033002,B
033003,C
033101,B
033102,C
033201,B
033202,B
033203,C
033301,D
033302,A
033303,B
033401,A
033402,C
033403,D
033501,A
033502,B
033503,A
033601,B
033602,D
033603,A
033701,B
033702,D
033801,A
033802,A
033901,C
033902,C
033903,B
034001,C
034002,A
034003,D
034101,B
034102,A
034103,A
034201,A
034202,C
034203,D
034301,B
034302,B
034303,A
034401,D
034402,D
034403,A
034501,A
034502,C
034503,A
034601,D
034602,C
034603,C
034701,D
034702,B
034703,B
034801,C
034802,C
034803,D
034804,B
034901,D
034902,D
034903,A
035001,C
035002,C
035003,C
035101,A
035102,B
035201,B
035202,B
035301,A
035302,B
035401,A
035402,B
035403,D
035501,A
035502,D
035503,A
035601,D
035602,D
035701,B
035702,B
035703,C
035801,C
035802,A
035901,D
035902,D
036001,A
036002,A
036101,C
036102,A
036201,D
036202,A
036203,D
036301,B
036302,A
036401,A
036402,C
036501,B
036502,C
036601,A
036602,C
036603,D
036604,D
036701,A
036702,D
036801,B
036802,B
036803,C
036901,A
036902,C
037001,A
037002,D
037101,D
037102,A
037201,D
037202,A
037301,C
037302,D
037401,A
037402,D
037501,A
037502,B
037503,D
037601,A
037602,A
037603,A
037604,D
037701,A
037702,A
037703,B
037801,B
037802,D
037901,C
037902,B
037903,D
038001,B
038002,A
038101,B
038102,C
038103,A
038201,B
038202,A
038301,D
038302,C
038303,D
038401,D
038402,C
038403,D
038501,D
038502,B
038503,C
038601,B
038602,D
038603,B
038701,B
038702,A
038801,A
038802,A
038901,D
038902,A
038903,D
039001,B
039002,B
039101,D
039102,B
039103,A
