id,label
000101,D
000102,D
000103,D
000201,A
000202,C
000301,A
000302,B
000401,D
000402,A
000501,C
000502,D
000601,A
000602,B
000701,A
000702,A
000801,B
000802,C
000901,B
000902,B
001001,B
001101,D
001102,A
001201,C
001202,D
001301,D
001302,C
001401,C
001402,B
001501,D
001601,C
001602,C
001701,D
001702,A
001801,C
001802,A
001803,B
001901,A
002001,B
002002,C
002003,D
002101,C
002201,A
002202,D
002301,D
002302,D
002401,B
002501,A
002601,D
002602,B
002701,C
002702,B
002703,D
002801,D
002802,D
002901,A
003001,C
003002,B
003101,D
003102,A
003103,B
003201,C
003301,D
003302,C
003303,C
003401,C
003402,A
003501,B
003502,A
003503,C
003601,D
003602,D
003701,C
003801,D
003901,C
003902,C
004001,B
004002,A
004101,B
004102,B
004201,C
004301,C
004401,A
004402,A
004501,D
004502,D
004601,B
004602,A
004701,B
004801,A
004802,B
004901,D
005001,C
005002,D
005101,A
005201,B
005202,A
005301,D
005302,C
005401,A
005501,D
005502,C
005601,B
005701,B
005702,A
005801,C
005901,A
006001,D
006101,B
006102,C
006201,D
006301,B
006401,D
006402,D
006501,A
006601,D
006701,C
006801,B
006802,D
006901,A
007001,C
007101,B
007102,B
007201,A
007301,D
007302,C
007401,A
007501,D
007601,D
007602,A
007701,B
007702,C
007801,D
007802,D
007803,B
007901,D
008001,A
008101,B
008102,D
008201,B
008202,B
008301,C
008401,A
008501,C
008601,C
008602,D
008603,D
008701,B
008801,C
008901,A
008902,D
009001,C
009101,D
009201,A
009301,B
009401,C
009402,B
009501,A
009502,D
009601,A
009602,C
009701,B
009702,C
009801,D
009901,C
009902,C
010001,B
010002,D
010003,C
010101,D
010102,C
010201,C
010202,B
010301,C
010302,B
010303,D
010304,A
010401,B
010402,B
010403,C
010501,D
010502,B
010601,B
010701,B
010801,C
010802,D
010901,D
010902,A
010903,C
011001,C
011101,C
011102,A
011103,A
011201,B
011301,C
011302,B
011401,B
011402,A
011501,C
011502,D
011503,B
011601,C
011701,B
011801,A
011802,A
011901,B
012001,C
012002,D
012101,A
012201,B
012202,A
012203,B
012301,D
012302,C
012303,D
012304,C
012401,B
012402,D
012501,C
012502,C
012503,D
012601,B
012602,D
012701,C
012702,B
012703,B
012801,B
012802,D
012901,B
012902,D
013001,A
013002,D
013003,A
013101,D
013102,D
013103,C
013201,A
013202,C
013301,C
013302,D
013401,C
013402,C
013501,D
013502,B
013503,B
013601,B
013701,A
013801,D
013802,B
013803,C
013901,B
014001,B
014101,C
014201,D
014301,C
014302,B
014303,A
014304,D
014401,A
014501,B
014601,B
014602,B
014701,C
014801,A
014802,C
014803,C
014901,D
015001,B
015101,B
015102,D
015103,B
015201,D
015202,B
015301,B
015302,B
015303,B
015401,A
015501,D
015502,D
015601,A
015701,A
015702,A
015801,D
015901,C
015902,B
015903,D
016001,A
016002,B
016101,C
016102,B
016201,B
016301,B
016302,C
016303,D
016401,D
016402,D
016403,D
016501,A
016502,D
016601,B
016602,B
016701,D
016702,B
016801,B
016901,A
016902,C
017001,C
017101,B
017102,B
017201,C
017202,D
017203,C
017301,C
017401,D
017501,C
017502,D
017503,A
017601,D
017602,A
017603,D
017701,D
017702,D
017703,A
017801,A
017901,D
017902,A
018001,C
018002,B
018101,C
018201,A
018301,B
018302,D
018401,D
018402,C
018501,B
018601,C
018701,C
018801,B
018802,C
018901,D
018902,C
018903,C
019001,D
019101,A
019201,B
019301,B
019401,D
019402,A
019501,C
019502,B
019601,C
019602,A
019701,C
019702,D
019703,C
019801,D
019802,C
019901,D
020001,D
020002,B
020003,D
020101,D
020102,B
020201,A
020202,A
020301,C
020401,A
020501,A
020502,D
020503,C
020601,B
020602,C
020701,A
020702,C
020703,D
020801,B
020802,C
020803,C
020901,A
020902,A
021001,A
021002,D
021003,A
021004,B
021101,B
021102,D
021103,D
021201,A
021202,C
021203,D
021301,B
021302,C
021401,C
021402,A
021501,B
021502,A
021601,B
021602,B
021603,A
021701,D
021702,C
021703,C
021801,B
021802,C
021901,C
021902,A
021903,C
022001,B
022002,A
022003,A
022101,D
022102,B
022103,A
022201,D
022202,D
022203,B
022301,B
022302,B
022401,C
022402,A
022403,C
022501,C
022502,B
022601,C
022602,D
022603,C
022701,C
022702,C
022703,D
022801,C
022802,B
022901,B
022902,D
023001,B
023002,C
023003,D
023101,C
023102,C
023103,D
023201,D
023202,D
023301,D
023302,A
023303,C
023401,D
023402,C
023403,A
023501,C
023502,C
023503,B
023601,C
023602,C
023603,A
023701,D
023702,A
023801,D
023802,B
023803,C
023901,C
023902,B
023903,B
024001,D
024002,C
024003,B
024101,C
024102,C
024103,B
024201,A
024202,B
024301,A
024302,C
024401,B
024402,A
024403,A
024501,C
024502,D
024601,D
024602,B
024701,C
024702,B
024703,A
024801,D
024802,C
024803,B
024901,B
024902,C
025001,C
025002,C
025003,D
025101,C
025102,D
025103,B
025201,A
025202,C
025301,D
025302,C
025303,C
025304,B
025401,D
025402,A
025403,D
025501,D
025502,D
025503,C
025601,B
025602,A
025701,B
025702,B
025703,C
025801,A
025802,A
025901,C
025902,C
026001,B
026002,A
026003,B
026101,A
026102,D
026201,A
026202,A
026203,B
026301,B
026302,D
026401,B
026402,C
026403,C
026501,C
026502,B
026601,D
026602,B
026603,A
026701,A
026702,A
026703,A
026801,C
026802,A
026803,D
026901,C
026902,C
026903,A
027001,B
027002,D
027003,C
027101,C
027102,D
027103,D
027201,D
027202,A
027203,D
027301,B
027302,A
027303,C
027401,A
027402,D
027501,B
027502,C
027503,C
027601,C
027602,B
027603,C
027701,B
027702,D
027801,C
027802,D
027901,B
027902,C
027903,D
028001,D
028002,B
028003,B
028004,D
028101,B
028102,D
028103,D
028201,A
028202,B
028301,B
028302,C
028303,D
028401,A
028402,A
028403,D
028501,A
028502,C
028503,B
028601,A
028602,A
028603,C
028701,B
028702,A
028703,A
028801,A
028802,C
028901,B
028902,A
028903,C
029001,B
029002,D
029101,D
029102,D
029201,C
029202,A
029301,D
029302,D
029303,C
029401,A
029402,D
029403,B
029501,C
029502,A
029601,A
029602,C
029603,B
029701,A
029702,B
029801,A
029802,D
029803,B
029901,B
029902,C
030001,D
030002,B
030101,A
030102,D
030103,A
030201,C
030202,B
030203,D
030301,A
030302,A
030303,D
030401,D
030402,D
030403,C
030501,B
030502,C
030503,D
030601,C
030602,C
030701,C
030702,B
030801,D
030802,A
030901,C
030902,D
030903,C
031001,C
031002,C
031003,C
031101,C
031102,A
031103,D
031201,C
031202,A
031203,B
031204,C
031301,A
031302,B
031401,D
031402,C
031403,B
031501,B
031502,A
031503,A
031601,D
031602,A
031701,B
031702,A
031801,A
031802,D
031901,C
031902,D
032001,A
032002,C
032101,A
032102,A
032103,C
032201,C
032202,B
032203,D
032301,B
032302,A
032303,C
032401,C
032402,A
032403,B
032501,C
032502,C
032503,D
032601,D
032602,C
032603,D
032701,D
032702,D
032801,A
032802,B
032901,C
032902,A
033001,B
033002,A
033003,B
033101,D
033102,B
033201,D
033202,A
033203,C
033301,A
033302,D
033303,D
033401,D
033402,A
033403,A
033501,B
033502,C
033503,D
033601,D
033602,B
033603,A
033701,B
033702,D
033801,A
033802,D
033901,B
033902,C
033903,D
034001,B
034002,D
034003,B
034101,C
034102,B
034103,C
034201,D
034202,B
034203,D
034301,C
034302,A
034303,D
034401,C
034402,D
034403,D
034501,D
034502,D
034503,D
034601,B
034602,B
034603,D
034701,D
034702,D
034703,C
034801,B
034802,D
034803,A
034804,A
034901,D
034902,A
034903,A
035001,C
035002,C
035003,A
035101,B
035102,D
035201,A
035202,C
035301,A
035302,C
035401,C
035402,A
035403,A
035501,C
035502,B
035503,B
035601,B
035602,A
035701,D
035702,A
035703,B
035801,C
035802,D
035901,C
035902,B
036001,A
036002,A
036101,D
036102,B
036201,A
036202,D
036203,A
036301,B
036302,B
036401,D
036402,B
036501,A
036502,D
036601,C
036602,C
036603,C
036604,C
036701,A
036702,C
036801,C
036802,C
036803,C
036901,A
036902,A
037001,D
037002,B
037101,A
037102,C
037201,D
037202,C
037301,A
037302,C
037401,D
037402,C
037501,A
037502,D
037503,C
037601,D
037602,A
037603,C
037604,C
037701,A
037702,C
037703,C
037801,A
037802,D
037901,D
037902,C
037903,B
038001,C
038002,A
038101,D
038102,B
038103,C
038201,D
038202,C
038301,C
038302,B
038303,B
038401,B
038402,B
038403,A
038501,A
038502,C
038503,A
038601,B
038602,C
038603,B
038701,B
038702,C
038801,B
038802,D
038901,A
038902,B
038903,C
039001,A
039002,C
039101,C
039102,C
039103,A
039201,D
039202,C
039301,C
039302,D
039303,A
039401,C
039402,D
039403,A
039501,A
039502,D
039601,B
039602,D
039701,D
039702,D
039801,C
039802,B
039803,C
039901,A
039902,D
040001,C
040002,D
040003,B
040101,D
040102,B
040103,B
040201,B
040202,B
040203,C
040301,A
040302,B
040303,C
040401,D
040402,B
040403,B
040501,B
040502,C
040601,D
040602,B
040603,A
040701,B
040702,A
040801,A
040802,A
040901,C
040902,C
040903,A
041001,B
041002,D
041003,A
041101,C
041102,D
041201,D
041202,C
041301,C
041302,D
041401,A
041402,A
041403,C
041501,D
041502,D
